Keyword	Mark
['geforce', 'gtx', '560', 'ti']	3528
['geforce', 'gtx', '560m']	1541
['geforce', 'gtx', '570']	4417
['geforce', 'gtx', '570m']	2024
['geforce', 'gtx', '580']	5017
['geforce', 'gtx', '580m']	2279
['geforce', 'gtx', '590']	4221
['geforce', 'gtx', '645']	1939
['geforce', 'gtx', '650']	1836
['geforce', 'gtx', '650', 'ti']	2659
['geforce', 'gtx', '650', 'ti', 'boost']	3538
['geforce', 'gtx', '660']	4129
['geforce', 'gtx', '660', 'ti']	4656
['geforce', 'gtx', '660m']	1447
['geforce', 'gtx', '670']	5362
['geforce', 'gtx', '670m']	1950
['geforce', 'gtx', '670mx']	2079
['geforce', 'gtx', '675m']	2139
['geforce', 'gtx', '675mx']	2459
['geforce', 'gtx', '680']	5667
['geforce', 'gtx', '680m']	3345
['geforce', 'gtx', '680mx']	4274
['geforce', 'gtx', '690']	5393
['geforce', 'gtx', '745']	2196
['geforce', 'gtx', '750']	3328
['geforce', 'gtx', '750', 'ti']	3770
['geforce', 'gtx', '760']	4938
['geforce', 'gtx', '760', 'ti']	5118
['geforce', 'gtx', '760', 'ti', 'oem']	5343
['geforce', 'gtx', '760a']	1281
['geforce', 'gtx', '760m']	1439
['geforce', 'gtx', '765m']	1888
['geforce', 'gtx', '770']	6064
['geforce', 'gtx', '770m']	2666
['geforce', 'gtx', '775m']	4222
['geforce', 'gtx', '780']	7955
['geforce', 'gtx', '780', 'ti']	8888
['geforce', 'gtx', '780m']	4037
['geforce', 'gtx', '850a']	802
['geforce', 'gtx', '850m']	1651
['geforce', 'gtx', '860m']	1972
['geforce', 'gtx', '870m']	2477
['geforce', 'gtx', '880m']	3723
['geforce', 'gtx', '950']	5246
['geforce', 'gtx', '950a']	1729
['geforce', 'gtx', '950m']	1939
['geforce', 'gtx', '960']	5828
['geforce', 'gtx', '960a']	2410
['geforce', 'gtx', '960m']	2394
['geforce', 'gtx', '965m']	3255
['geforce', 'gtx', '970']	8651
['geforce', 'gtx', '970m']	4246
['geforce', 'gtx', '980']	9678
['geforce', 'gtx', '980', 'ti']	11423
['geforce', 'gtx', '980m']	5970
['geforce', 'gtx', 'titan']	7936
['geforce', 'gtx', 'titan', 'black']	8657
['geforce', 'gtx', 'titan', 'x']	10683
['geforce', 'gtx', 'titan', 'z']	7647
['geforce', 'mx110']	1613
['geforce', 'mx130']	1973
['geforce', 'mx150']	2233
['geforce', 'mx230']	2196
['geforce', 'mx250']	2586
['geforce', 'pcx', '5300']	6
['geforce', 'pcx', '5750']	34
['geforce', 'rtx', '2060']	12856
['geforce', 'rtx', '2060', '(mobile)']	10619
['geforce', 'rtx', '2060', 'super']	13832
['geforce', 'rtx', '2070']	14052
['geforce', 'rtx', '2070', '(mobile)']	11419
['geforce', 'rtx', '2070', 'super']	14857
['geforce', 'rtx', '2070', 'with', 'max-q', 'design']	11266
['geforce', 'rtx', '2080']	15500
['geforce', 'rtx', '2080', '(mobile)']	13444
['geforce', 'rtx', '2080', 'super']	15868
['geforce', 'rtx', '2080', 'ti']	16696
['geforce', 'rtx', '2080', 'with', 'max-q', 'design']	12592
['geforce2', 'gts/geforce2', 'pro']	3
['geforce2', 'integrated', 'gpu']	4
['geforce2', 'mx']	2
['geforce2', 'mx', '100/200']	3
['geforce2', 'mx/mx', '400']	3
['geforce2', 'ti']	4
['geforce3']	4
['geforce3', 'ti', '200']	4
['geforce3', 'ti', '500']	2
['geforce4', '420', 'go']	3
['geforce4', '420', 'go', '32m']	5
['geforce4', '4200', 'go']	3
['geforce4', '440', 'go']	3
['geforce4', '440', 'go', '64m']	5
['geforce4', '448', 'go']	5
['geforce4', 'mx', '4000']	4
['geforce4', 'mx', '420']	4
['geforce4', 'mx', '440']	4
['geforce4', 'mx', '440', 'with', 'agp8x']	4
['geforce4', 'mx', '440se']	4
['geforce4', 'mx', '460']	4
['geforce4', 'mx', 'integrated', 'gpu']	6
['geforce4', 'ti', '4200']	5
['geforce4', 'ti', '4400']	7
['geforce4', 'ti', '4600']	5
['geforce4', 'ti', '4800', 'se']	7
['geforce9400m']	105
['gf117']	554
['gigabyte', 'radeon', '9600', 'pro']	39
['grid', 'k1']	880
['grid', 'k120q']	298
['grid', 'k140q']	727
['grid', 'k160q']	701
['grid', 'k180q']	778
['grid', 'k2']	3772
['grid', 'k220q']	912
['grid', 'k240q']	2143
['grid', 'k260q']	2940
['grid', 'k280q']	2358
['grid', 'k520']	4384
['grid', 'm10-1b']	2024
['grid', 'm10-2b']	2416
['grid', 'm60-1q']	4680
['grid', 'm60-2q']	5904
['grid', 'm60-4q']	3188
['grid', 'm60-8q']	3883
['grid', 'p40-24q']	4375
['grid', 'p40-3q']	681
['grid', 'p6-2q']	4000
['grid', 'p6-4q']	4429
['hd6450']	220
['incredible', 'hd', '4000']	517
['intel', '-', 'express', 'chipset', 'g41']	56
['intel', '-', 'express', 'chipset', 'q45/q43']	57
['intel', '2nd', 'generation', 'sandybridge', 'hd', '3000']	205
['intel', '4th', 'generation', 'haswell', 'hd']	419
['intel', '82845g', 'controller']	2
['intel', '82845g/gl', 'controller']	2
['intel', '82845g/gl/ge/pe/gv', 'controller']	2
['intel', '82865g', 'controller']	4
['intel', '82915g', 'express']	5
['intel', '82915g/gv/910gl', 'express']	3
['intel', '82945g', 'express']	5
['intel', '865', 'embedded', 'controller']	3
['intel', '946gz', 'embedded', 'chipset', 'function', '0']	3
['intel', '946gz', 'express']	6
['intel', 'b43', 'express', 'chipset']	63
['intel', 'coffee', 'lake', 'uhd']	1158
['intel', 'g33/g31', 'express']	12
['intel', 'g35', 'express']	30
['intel', 'g41', 'express', 'chipset']	63
['intel', 'g41', 'express-chipsatz']	58
['intel', 'g45/g43', 'express', 'chipset']	69
['intel', 'g965', 'express']	18
['intel', 'haswell', 'hd', '-', 'gt1']	123
['intel', 'haswell', 'hd', '-', 'gt2']	139
['intel', 'hd', '3000']	314
['intel', 'hd', '4000']	457
['intel', 'hd', '4400']	569
['intel', 'hd', '4600']	714
['intel', 'hd', '500']	341
['intel', 'hd', '5000']	601
['intel', 'hd', '505']	390
['intel', 'hd', '510']	624
['intel', 'hd', '515']	647
['intel', 'hd', '520']	843
['intel', 'hd', '5200']	830
['intel', 'hd', '530']	1008
['intel', 'hd', '5300']	401
['intel', 'hd', '5500']	596
['intel', 'hd', '5600']	663
['intel', 'hd', '6000']	829
['intel', 'hd', '610']	717
['intel', 'hd', '615']	740
['intel', 'hd', '630']	1138
['intel', 'hd', 'family']	440
['intel', 'hd', 'graphics', '620']	934
['intel', 'hd', 'manual-gen9_2015-133271']	165
['intel', 'hd', 'modded']	112
['intel', 'hd', 'p3000']	343
['intel', 'hd', 'p4000']	516
['intel', 'hd', 'p4600']	604
['intel', 'hd', 'p4600/p4700']	674
['intel', 'hd', 'p530']	1062
['intel', 'hd', 'p630']	1741
['intel', 'infoshock', 'hd']	193
['intel', 'iris', '5100']	748
['intel', 'iris', '540']	1343
['intel', 'iris', '550']	1583
['intel', 'iris', '6100']	977
['intel', 'iris', 'plus']	1694
['intel', 'iris', 'plus', '640']	1417
['intel', 'iris', 'plus', '645']	2145
['intel', 'iris', 'plus', '650']	1579
['intel', 'iris', 'plus', '655']	1972
['intel', 'iris', 'pro', '5200']	1172
['intel', 'iris', 'pro', '580']	1881
['intel', 'iris', 'pro', 'graphics', '6200']	1545
['intel', 'iris', 'pro', 'p580']	2156
['intel', 'iris', 'pro', 'p6300']	1209
['intel', 'media', 'accelerator']	32
['intel', 'media', 'accelerator', '3150']	3
['intel', 'media', 'accelerator', '500']	3
['intel', 'media', 'accelerator', '600']	6
['intel', 'media', 'accelerator', 'hd']	116
['intel', 'q33', 'express']	10
['intel', 'q35', 'express']	9
['intel', 'q45/q43', 'express', 'chipset']	66
['intel', 'q45/q43', 'express-chipsatz']	57
['intel', 'q965/q963', 'express']	6
['intel', 'skylake', 'hd', 'dt', 'gt2']	576
['intel', 'uhd']	1273
['intel', 'uhd', '600']	363
['intel', 'uhd', '605']	426
['intel', 'uhd', '610']	800
['intel', 'uhd', '615']	786
['intel', 'uhd', '617']	878
['intel', 'uhd', '630']	1360
['intel', 'uhd', 'graphics', '620']	1072
['intel', 'uhd', 'p630']	1394
['intel', 'us15', 'embedded', 'media', 'and', 'controller']	7
['ion']	97
['ion', 'le']	97
['m860g', 'with', 'mobility', 'radeon', '4100']	75
['m880g', 'with', 'mobility', 'radeon', 'hd', '4200']	92
['m880g', 'with', 'mobility', 'radeon', 'hd', '4225']	71
['m880g', 'with', 'mobility', 'radeon', 'hd', '4250']	104
['matrox', 'c420', 'lp', 'pcie', 'x16']	635
['matrox', 'c680', 'pcie', 'x16']	1977
['matrox', 'c900', 'pcie', 'x16']	1812
['matrox', 'g200e', 'wddm', '1.2']	59
['matrox', 'g200eh']	40
['matrox', 'g200eh', 'wddm', '1.2']	51
['matrox', 'g200er']	36
['matrox', 'g200er', 'wddm', '1.2']	67
['matrox', 'g200er', 'wddm', '2.0']	67
['matrox', 'g200ew']	42
['matrox', 'g200ew', 'wddm', '1.2']	50
['matrox', 'm9138', 'lp', 'pcie', 'x16']	32
['matrox', 'm9140', 'lp', 'pcie', 'x16']	23
['matrox', 'm9148', 'lp', 'pcie', 'x16']	9
['matrox', 'millennium', 'p650', 'pcie', '128']	5
['matrox', 'millennium', 'p690', 'pcie', 'x16']	10
['matrox', 'millennium', 'p690', 'plus', 'lp', 'pcie', 'x16']	6
['matrox', 'parhelia', 'apve']	5
['medion', 'radeon', 'x740xl']	94
['mobile', 'intel', '-', 'famiglia', 'express', 'chipset', '45']	38
['mobile', 'intel', '4', 'express-chipsatzfamilie']	44
['mobile', 'intel', '45', 'express']	43
['mobile', 'intel', '45', 'express-chipsatzfamilie']	117
['mobile', 'intel', '915gm/gms/910gml', 'express']	4
['mobile', 'intel', '945', 'express']	4
['mobile', 'intel', '945gm', 'express']	5
['mobile', 'intel', '945gm/gu', 'express']	5
['mobile', 'intel', '965', 'express']	20
['mobile', 'intel', '965', 'express-chipsatzfamilie']	24
['mobile', 'intel', 'hd']	409
['mobile', 'intel', 'serie', '4', 'express']	44
['mobility', 'firegl', 't2']	40
['mobility', 'firegl', 't2/t2e']	33
['mobility', 'firegl', 'v3200']	62
['mobility', 'firegl', 'v5000']	81
['mobility', 'firegl', 'v5200']	44
['mobility', 'firegl', 'v5250']	27
['mobility', 'firegl', 'v5725']	219
['mobility', 'radeon', '4100']	81
['mobility', 'radeon', '7000', 'igp']	6
['mobility', 'radeon', '7500']	3
['mobility', 'radeon', '9000']	3
['mobility', 'radeon', '9000', 'igp']	7
['mobility', 'radeon', '9000/9100', 'igp']	5
['mobility', 'radeon', '9100', 'igp']	2
['mobility', 'radeon', '9200']	3
['mobility', 'radeon', '9600', 'pro', 'turbo']	24
['mobility', 'radeon', '9600/9700']	39
['mobility', 'radeon', '9700']	27
['mobility', 'radeon', '9800']	46
['mobility', 'radeon', 'hd', '2300']	50
['mobility', 'radeon', 'hd', '2400']	89
['mobility', 'radeon', 'hd', '2400', 'xt']	102
['mobility', 'radeon', 'hd', '2600']	167
['mobility', 'radeon', 'hd', '2600', 'xt']	191
['mobility', 'radeon', 'hd', '3410']	62
['mobility', 'radeon', 'hd', '3430']	98
['mobility', 'radeon', 'hd', '3450']	91
['mobility', 'radeon', 'hd', '3470']	93
['mobility', 'radeon', 'hd', '3470', 'hybrid', 'x2']	93
['mobility', 'radeon', 'hd', '3650']	209
['mobility', 'radeon', 'hd', '3670']	232
['mobility', 'radeon', 'hd', '3850']	365
['mobility', 'radeon', 'hd', '3870']	547
['mobility', 'radeon', 'hd', '3870', 'x2']	564
['mobility', 'radeon', 'hd', '4200']	90
['mobility', 'radeon', 'hd', '4225']	66
['mobility', 'radeon', 'hd', '4250']	98
['mobility', 'radeon', 'hd', '4270']	92
['mobility', 'radeon', 'hd', '4330']	135
['mobility', 'radeon', 'hd', '4350']	148
['mobility', 'radeon', 'hd', '4550']	191
['mobility', 'radeon', 'hd', '4570']	195
