Name	Price	Brand	Screen Size	Screen Type	CPU Brand	CPU Type	CPU Gen	Ram	Capacity	Storage Type	GPU	OS	Weight
330-15IKB (81DE01JSVN)	12590.0	lenovo	15	hd	intel	5	8	4	500	hdd	radeon r7 m530	free dos	1.9
Ideapad L340-15IRH (81LK007HVN)	17500.0	lenovo	15	fhd	intel	5	9	8	1000	hdd	gtx 1050	free dos	2.2
ThinkPad E490 (20N8S0CJ00)	16490.0	lenovo	14	hd	intel	5	8	4	1000	hdd	uhd 620	free dos	1.8
Ideapad S340-15IWL (81N800RSVN)	12290.0	lenovo	15	fhd	intel	3	8	4	1000	hdd	uhd 620	win10	1.8
Legion Y530 (81FV00STVN)	23000.0	lenovo	15	fhd	intel	5	8	8	1000	hdd	gtx 1050	free dos	2.3
Ideapad 130-15IKB (81H7007JVN)	10990.0	lenovo	15	hd	intel	5	8	4	1000	hdd	uhd 620	free dos	2.1
330S-14IKBR (14IKBR 81F400NLVN)	12690.0	lenovo	14	fhd	intel	5	8	4	1000	hdd	uhd 620	win10	1.7
Ideapad S540-14IWL (81ND0053VN)	14990.0	lenovo	14	fhd	intel	3	8	8	512	ssd	uhd 620	win10	1.5
ThinkBook 13s-IWL-20R900DHVN	18490.0	lenovo	13	fhd	intel	5	8	8	256	ssd	uhd 620	win10	1.3
ThinkPad Edge E480 (20KN005GVA)	15490.0	lenovo	14	hd	intel	5	8	4	1000	hdd	uhd 620	free dos	1.7
V330-14IKBR (81B0008LVN)	13490.0	lenovo	14	hd	intel	5	8	4	1000	hdd	uhd 620	free dos	1.5
ThinkPad L390 (20NRS00100)	19789.0	lenovo	13	fhd	intel	5	8	4	256	ssd	uhd 620	free dos	1.5
V130-14IKB (81HQ00EQVN)	9990.0	lenovo	14	hd	intel	3	7	4	500	hdd	hd 620	free dos	1.5
ThinkPad E590 (20NBS07000)	16990.0	lenovo	15	hd	intel	5	8	4	1000	hdd	uhd 620	free dos	2.1
Ideapad S145-15IWL (81MV00F3VN)	7699.0	lenovo	15	fhd	intel	1	5	4	256	ssd	uhd 610	win10	1.9
Yoga S740-14IIL-81RS0036VN	24790.0	lenovo	14	fhd	intel	5	10	8	512	ssd	iris plus	win10	1.5
Yoga 520-14IKB (80X8016EVN)	12790.0	lenovo	14	hd	intel	3	7	4	1000	hdd	hd 620	win10	1.8
Ideapad 330-15IKBR (15IKBR 81DE010CVN)	11990.0	lenovo	15	hd	intel	3	7	4	2000	hdd	radeon 530	win10	2.2
ThinkPad L580 (20LWS00C00)	20590.0	lenovo	15	fhd	intel	5	8	8	1000	hdd	radeon 530	free dos	2.1
330-14IKBR (81G2007AVN)	11990.0	lenovo	14	fhd	intel	5	8	4	1000	hdd	uhd 620	free dos	1.7
Yoga 520-14IKBR (81C800LGVN)	13490.0	lenovo	14	hd	intel	3	7	4	1000	hdd	hd 620	win10	1.7
Ideapad 330-15IKB (81DE01KWVN)	12490.0	lenovo	15	hd	intel	5	8	4	1000	hdd	uhd 620	win10	2.2
